CancerType	BTLA	CD200	TNFRSF14	NRP1	LAIR1	TNFSF4	CD244	LAG3	ICOS	CD40LG	CTLA4	CD48	CD28	CD200R1	HAVCR2	ADORA2A	CD276	KIR3DL1	CD80	PDCD1	LGALS9	CD160	TNFSF14	IDO2	ICOSLG	TMIGD2	VTCN1	IDO1	PDCD1LG2	HHLA2	TNFSF18	BTNL2	CD70	TNFSF9	TNFRSF8	CD27	TNFRSF25	VSIR	TNFRSF4	CD40	TNFRSF18	TNFSF15	TIGIT	CD274	CD86	CD44	TNFRSF9
ACC	-0.0849369228236685	0.0749768245676343	-0.109098485024613	0.355109131511892	-0.144912852461539	0.112592506383589	-0.14479797053173	0.204742266913224	0.0629540249768369	-0.201973001625935	-0.0112170385882201	-0.161311646118619	-0.0968131176070854	-0.231260170047615	-0.0242627723790167	0.320259811812337	0.51499229322059	-0.0972466920197275	0.147899990576725	0.0186661518344525	-0.0945349840828304	-0.0247487516482795	-0.259038892482522	-0.139874790895119	-0.0670172961923763	-0.114296876804155	-0.111664035997976	0.0491902516101179	-0.0152501665606515	-0.00153880299553007	-0.0497721339049519	-0.154541246993995	0.145919397403831	-0.00766685573277194	0.0120902933385555	-0.120707406689272	0.00364774635724151	-0.166098773902033	-0.0505000225657895	-0.211274532387312	0.0561146290491995	0.0693844517889176	0.0555705767108619	0.109879282919403	-0.0852777440222914	0.10654821059895	0.268907609548312
BLCA	0.0970119326668384	-0.0674533669933302	-0.358065600142205	0.23154358093666	0.0736494349034719	0.0351348643826587	-0.0614541393641204	0.218968160271812	0.180694905247859	-0.0516742487654788	0.126916948108994	0.011449146352717	0.0907768693055852	0.161227080138461	0.157408310148379	0.209055981004473	0.122776461912195	0.0970659714459686	0.274889367225271	0.114012441502779	-0.133706688959953	0.282849173396361	0.0533286766486163	0.0552574447264477	0.115950088277578	-0.0642574143241327	0.0181631991189426	0.179515514371025	0.261970288257502	0.0535474681020465	0.112211387377758	0.0426913354532063	0.160528866749245	0.0747637176361282	0.0418713227947502	-0.015598984063516	-0.0604948482385719	-0.210129601405576	-0.0972265187624732	-0.224908061776841	0.0914757253010904	-0.0646718204862414	0.148355100313691	0.294534850035734	0.15575663534796	0.135023330409825	0.177742817352586
BRCA	0.0978417594745627	-0.130098242118057	-0.401858030001911	-0.0275001967794374	0.0646343856077947	0.101826927749146	0.0713993537359777	0.222989021712127	0.266068148009361	0.00890002091020023	0.231109875806408	0.00739814216298995	0.0699910561550619	0.0369317610139173	0.0991857132792057	-0.0343526871152556	0.10123255719962	0.128208471975383	0.339145618149171	0.096402076392675	0.015629860451499	0.128156004449369	0.112083043428368	0.0677559676156966	0.0923149330881605	-0.0228545413875341	-0.108936939974244	0.302493579104786	0.245052876158762	0.0988131129810924	0.0769098051659565	0.0776293167689456	0.0871349148604547	0.0785089224463669	0.0429410500188625	0.00517175067111221	-0.0764777474275955	-0.230808500815455	-0.155272675738503	-0.0101218335878094	-0.15158541471682	0.18985194851711	0.188567620344903	0.218743061336849	0.146276585147644	-0.065920386713817	0.245921224882746
CESC	0.00476437146119569	0.0921009344293183	-0.147441388564477	0.0350743204549164	-0.050506688319299	0.0731274043758799	-0.0797911871454547	-0.143324797520128	-0.00442351052544829	0.0513151361930499	-0.086712118068224	-0.0724192887159172	0.044300195672432	0.00652173846859519	-0.0860139237029731	0.27264346753749	-0.00494174333901334	-0.0316443882800905	0.0192507644219763	-0.111524386203674	-0.0961317611770039	0.0203444514799751	-0.0454680665355536	0.0495269723580113	0.0732846578201991	-0.233832199337558	0.0351810823437559	0.0218966285572213	0.00576508255093554	-0.130352319144237	0.102039354366313	0.00124220224660856	0.0130753075346106	-0.113751420685432	-0.075583951179666	-0.112132631919008	0.0513489027652501	-0.0973505180572469	-0.191226126530875	0.00730730190361773	-0.147709390721365	0.0860172418820499	-0.0786775204048176	0.0488503751529254	-0.0677775573880774	0.210554611021768	0.0369514180900713
CHOL	-0.193973190414077	-0.0520417491418095	-0.103518078187653	0.0670043988593018	-0.0665950565460135	0.193937889942543	-0.0187467908073721	0.233156685273368	-0.0667986118137154	-0.214739751633118	-0.035994104976585	-0.153013125762646	-0.182923609088159	0.0646501978529969	0.0488095403351049	-0.126482170014423	0.171634158656805	-0.182456106595481	-0.0918074973588492	0.180640343844832	-0.00576357724462805	0.0837683595566207	0.1309724255663	-0.181260314069048	-0.0157910965409212	-0.316453893290482	-0.00792096065762698	0.0588062757794864	0.14707574465746	0.178642064817567	0.090299237374715	-0.0969437523337411	0.121897394160812	0.297429346349274	-0.298165287462601	0.000187046299458744	0.101851893833105	-0.27384519285267	-0.196155233972949	-0.0478878696291692	-0.235718526394493	0.0339546499377225	-0.0393445473023765	0.0716524941583963	-0.101826106579736	-0.10626656628489	-0.122169696079384
COAD	0.137697772610442	0.126072312904592	-0.261182795828894	0.190637577044512	-0.00837751894687564	0.0705089025001705	0.030170491813724	-0.0196516600921346	0.224035826384348	-0.00195368494822976	0.109653260641327	0.000104429365934192	0.126510954727856	0.319346108388128	0.0684450180471302	0.142303858488072	-0.318204175118094	0.110041495445922	0.313761760474865	-0.069237217693944	-0.284841377600096	0.365657988930617	0.0447180482727604	0.0597135015184231	0.0138845380363419	-0.18269270732798	-0.0710644041224795	0.124176387575409	0.206339942631415	0.119886887465234	0.00756823099099641	0.0584758746418437	-0.160750354607311	-0.0844419254296859	-0.0871920675745851	-0.14715948402704	-0.0203557646046327	-0.317001592084042	-0.285432654837366	-0.0615101184205524	-0.166027732276271	0.124656107235799	0.120530527879056	0.230265419507878	0.126118344464166	0.216875466472642	0.173505640985657
DLBC	0.121251695096765	0.316544992320808	-0.402294619988911	0.432180276271542	0.0457988166310902	0.18681987308742	0.0483974941519128	-0.135516902920407	-0.0459090124834818	-0.03965616962552	-0.165795082349829	-0.522012941457878	0.00550782292673951	0.296587762099124	0.121035501158346	0.523439282566883	-0.0220442227684564	-0.194967633795271	0.221743991537795	-0.223100934321049	-0.306198746333388	0.134322352780165	0.175872907361711	-0.0926301434779258	0.0920986755367407	-0.359498681146837	-0.0425120360325428	-0.00345598009969556	0.252776368498867	0.247035545542266	0.355272562220175	0.0704488050301592	-0.107823682512471	0.0062816628699447	0.290604587427002	-0.44151554672342	-0.170028365432191	-0.129135787602777	-0.429804531928055	0.318462641844734	-0.477043008164283	0.252258393380152	-0.17702171998112	0.358747546978649	0.200380740262874	0.180570023790754	0.212155530745041
ESCA	-0.102513877936855	-0.0417984594138582	-0.142271426795141	-0.0214390472546184	-0.080951978090789	0.0473578828365832	-0.111460201990535	-0.0117303505943258	0.0441550170141658	-0.2436595300322	0.0158062718398391	-0.182924899893649	-0.0790884214760167	-0.0959070416740702	-0.0180971080282488	-0.0687828505136454	0.327645442490413	0.00328179043598492	0.0513342432102518	-0.081886464295342	-0.0346391497952506	0.0308543791326363	-0.139356249870947	-0.016368898417148	0.0780304325437157	-0.0625644475454168	0.0191098381439686	-0.0305105959645498	-0.0306351128270393	-0.0221367879262754	0.0938073311841444	0.0703687640913383	0.0530158952085995	0.0582656680731112	0.072782088044577	-0.150943332251762	-0.0499362710040828	-0.144090368704778	-0.115067095593555	0.0309113787418293	0.0566653711286684	0.000791726372224205	-0.0316803721795456	-0.139491149625214	-0.0111550416967298	0.0732453784434209	0.15713152986623
GBM	-0.125692858732894	-0.0811752140395183	-0.261282163566889	0.0957613135209907	-0.368587669285412	-0.00223823433708305	-0.328736487895789	0.220642723900494	-0.102474276582715	-0.137162422981618	0.00714837448571969	-0.194413384716153	-0.0554502900817149	-0.196249539251454	-0.360438886320536	0.203436910065946	0.248829163546168	-0.0323597669638991	-0.0317439127518008	-0.0464279025418746	-0.3009332354874	0.0968014727951611	-0.23648925352292	0.0663507902558356	-0.142213400720065	-0.305677276663268	0.320108150322949	-0.134377552698568	-0.228737104702452	-0.108890738084187	-0.068347993209425	0.210764978212428	-0.012622199710228	-0.162160908739728	-0.121897684724751	-0.098755504370149	0.0106192740546227	-0.466843048550001	-0.0873723331554183	-0.243237792929318	-0.000713244843608793	0.0483903258904098	-0.0926581368938578	-0.118095889970597	-0.347719695167545	-0.217555274772609	-0.00583799016227291
HNSC	0.123122865139851	0.159666861400471	-0.0124420142757322	0.0873637227363177	0.0466410578511704	0.119402585665726	-0.095730657630791	0.00274916286254133	0.0922112895689974	0.121401404473545	0.0358513481121997	0.0361552718711015	0.111267007032651	0.067302842942539	0.0401760554886976	0.243868492175705	0.112831966570131	0.0251038378498583	0.102844892975189	0.0521490519218776	0.103708721025757	0.159498497522438	0.0583564266593465	0.118181574282216	0.140707924338502	0.0148797795803425	0.0610750422880141	0.0971776440448503	0.0616300774944301	-0.00248946636567558	0.0781525817851807	0.0512367282126371	-0.00461469967205118	-0.155761195510449	0.0181873790967388	0.0382773489132867	-0.0355541958621606	-0.10463658464631	-0.10049896019476	0.131891938565868	-0.105071484261378	0.322667976519376	0.0547088008543447	0.0613866629745952	0.044627506269126	0.00139425096227111	0.116120225114593
